X,Y,objectid,no,tahun,desa,kecamatan,kabupaten,provinsi,y,x,pengelola,kapas_ton,ket,jtn_timban,conveyor,truk,r3,l300,alat_uji,excavator,icon_url
108.170398999815,-6.36585199966925,1,1.000000000000000,2016.000000000000000,Krimun,Losarang,Indramayu,Jawa Barat,-6.365852000000000,108.170399000000003,Kop. Garam Rezeki Agung,2000,,"1","1","1","4","0","1","1",./0.png
111.177945000063,-6.71178100009229,2,2.000000000000000,2016.000000000000000,Raci,Batangan,Pati,Jawa Tengah,-6.711781000000000,111.177944999999994,Kop. Mutiara Laut Mandiri,2000,,"0","1","1","4","0","2","1",./0.png
113.587254000073,-7.13795700041442,3,3.000000000000000,2016.000000000000000,Montok,Larangan,Pamekasan,Jawa Timur,-7.137957000000000,113.587254000000001,KUD Karya Sakti,2000,,"1","1","1","4","0","1","1",./0.png
118.643167000058,-8.55705599973379,4,4.000000000000000,2016.000000000000000,Pandai,Woha,Bima,NTB,-8.557055999999999,118.643167000000005,Kop. Nusa Larity Jaya,2000,,"0","0","1","6","0","1","1",./0.png
119.492467000253,-4.77311299956449,5,5.000000000000000,2016.000000000000000,Pundata Baji,Labakkang,Pangkep,Sulawesi Selatan,-4.773113000000000,119.492467000000005,Kop. Mappatuwo,2000,,"1","1","1","4","0","1","1",./0.png
108.54049899973,-6.60696300024148,6,6.000000000000000,2016.000000000000000,Bungko,Kapetakan,Cirebon,Jawa Barat,-6.606963000000000,108.540498999999997,Kop. Muara Jati,2000,,"1","0","0","0","0","1","0",./0.png
108.952972000359,-6.87522199999449,7,7.000000000000000,2017.000000000000000,Bulakamba,Bulakamba,Brebes,Jawa Tengah,-6.875222000000000,108.952972000000003,Kop. Mutiara Bahari,2000,,"1","1","1","3","1","1","1",./0.png
110.598755999591,-6.73990700030703,8,8.000000000000000,2017.000000000000000,Babalan,Wedung,Demak,Jawa Tengah,-6.739907000000000,110.598755999999995,Kop. Garam Laut,2000,,"0","1","1","3","0","1","1",./0.png
111.288610999799,-6.69555500006237,9,9.000000000000000,2017.000000000000000,Purworejo,Kaliori,Rembang,Jawa Tengah,-6.695555000000000,111.288611000000003,Kop. Guyub Rukun,2000,,"1","0","1","4","1","1","1",./0.png
112.175749000217,-6.92111000002569,10,10.000000000000000,2017.000000000000000,Cepokorejo,Palang,Tuban,Jawa Timur,-6.921110000000000,112.175748999999996,Kop. Ronggolawe Makmur,2000,,"0","1","1","3","1","1","1",./0.png
113.243869000055,-7.20471399965055,11,11.000000000000000,2017.000000000000000,Polagan,Sampang,Sampang,Jawa Timur,-7.204714000000000,113.243869000000004,Kop. Sirkah Muawanah,2000,,"1","1","1","0","0","1","1",./0.png
123.792033999571,-10.0283250000979,12,12.000000000000000,2017.000000000000000,Oeteta,Sulamu,Kupang,NTT,-10.028325000000001,123.792034000000001,KSU Mitra Usaha Bipolo,2000,,"1","0","1","0","1","1","1",./0.png
119.826595999707,-5.65812399992183,13,13.000000000000000,2018.000000000000000,Borong Lamu,Arungkeke,Jeneponto,Sulawesi Selatan,-5.658124000000000,119.826595999999995,Kop. Pasar Utama,2000,,"0","0","0","4","0","1","1",./0.png
117.97671199976,-8.74544900007049,14,14.000000000000000,2018.000000000000000,Labuan Bontong,Tarano,Sumbawa,NTB,-8.745449000000002,117.976712000000006,KOPINKRA Sejahtera,2000,,"0","0","1","3","0","1","1",./0.png
107.567806000148,-6.27144399964004,15,15.000000000000000,2018.000000000000000,Cilamaya,Cilamaya Wetan,Karawang,Jawa Barat,-6.271444000000000,107.567806000000004,Kop. Segara Jaya,2000,,"0","0","1","3","0","1","1",./0.png
96.1296400003867,5.27821900040738,16,16.000000000000000,2018.000000000000000,Panteraja,Panteraja,Pidie Jaya,Aceh,5.278219000000000,96.129639999999995,Kop. Petuah Laot,2000,,"0","0","1","3","0","1","0",./0.png
113.628375999754,-7.11427199995205,17,17.000000000000000,2018.000000000000000,Sentol Laok,Pragaan,Sumenep,Jawa Timur,-7.114272000000000,113.628376000000003,Kop. Sumber Asri Sejahtera,2000,,"0","0","1","3","0","1","1",./0.png
112.270179000362,-6.88454099986643,18,18.000000000000000,2018.000000000000000,Sedayulawas,Brondong,Lamongan,Jawa Timur,-6.884541000000000,112.270178999999999,Kop. Garam Lamongan,2000,,"0","0","1","3","0","1","1",./0.png
97.2643277776059,5.16124722248219,19,19.000000000000000,2019.000000000000000,Matang Tunong,Lapang,Aceh Utara,Aceh,5.161247000000000,97.264328000000006,Kop. Cot Meunarek,2000,,"0","0","1","3","0","1","1",./0.png
108.533966667029,-6.48689166661632,20,20.000000000000000,2019.000000000000000,Krangkeng,Krangkeng,Indramayu,Jawa Barat,-6.486892000000000,108.533967000000004,Kop. Produsen Garam Inti Rakyat,2000,,"0","0","1","0","0","0","0",./0.png
110.641233333353,-6.71462777794881,21,21.000000000000000,2019.000000000000000,Kedungkarang,Wedung,Demak,Jawa Tengah,-6.714628000000000,110.641233000000000,Kop. Garam Laut,2000,,"0","0","1","0","0","0","0",./0.png
110.645738889139,-6.69539166699104,22,22.000000000000000,2019.000000000000000,Kalianyar,Kedung,Jepara,Jawa Tengah,-6.695392000000000,110.645739000000006,KSU Mina Barokah,2000,,"0","0","1","0","0","0","1",./0.png
111.097116666702,-6.66243611133666,23,23.000000000000000,2019.000000000000000,Sambilawang,Trangkil,Pati,Jawa Tengah,-6.662436000000000,111.097116999999997,Kop. Mutiara Laut Mandiri,2000,,"0","0","1","0","0","0","0",./0.png
113.514466667004,-7.22861388861924,24,24.000000000000000,2019.000000000000000,Majungan,Pademawu,Pamekasan,Jawa Timur,-7.228614000000000,113.514466999999996,KSU Teratai Laut,2000,,"0","0","0","0","0","0","0",./0.png
