X,Y,oid_,name,field1,nama,alamat,jumlah_ped,jenis_bang,kondisi_la,ketersedia,ketersed_1,ketersed_2,drainase,kabupaten_,provinsi,nama_desa,objectid,icon_url
120.032083100356,-5.39025879980295,0,Pasar Pabaeng-Baeng,1441,Pasar Pabaeng-Baeng,"Desa Arrihua, Kec.Kindang",0,,,,,,,BULUKUMBA,SULAWESI SELATAN,,1075,./0.png
116.070940800379,-8.50384149998445,0,Batulayar Barat,1442,Batulayar Barat,,0,,,,,,,LOMBOK BARAT,NUSA TENGGARA BARAT,,1076,./0.png
123.278464599663,0.90411070044928,0,Pasar Keliling,1444,Pasar Keliling,,0,,,,,,,BOLAANG MONGONDOW UTARA,SULAWESI UTARA,,1077,./0.png
111.053492299831,-7.53998119997158,0,Kwadungan,1445,Kwadungan,Kwadungan,0,,,,,,,KARANGANYAR,JAWA TENGAH,,1078,./0.png
112.743427600305,-7.27785180031952,0,Pasar Keputran Selatan,1446,Pasar Keputran Selatan,Tegal Sari,0,,,,,,,KOTA SURABAYA,JAWA TIMUR,,1079,./0.png
106.124280000323,-2.12091559957446,0,Pasar Batu Belubang,1448,Pasar Batu Belubang,Desa Batu Belubang Kec. Pangkalan Baru,14,,,,,,,BANGKA TENGAH,KEPULAUAN BANGKA BELITUNG,,1080,./0.png
120.293253800224,-4.54117519987477,0,Pasar Baru,375,Pasar Baru,Desa Pekan Tanjung Pura,0,,,,,,,LANGKAT,SUMATERA UTARA,,1081,./0.png
112.620600500214,-7.97717830023754,0,Pasar Bareng,1450,Pasar Bareng,Jl. Terusan Ijen,0,,,,,,,KOTA MALANG,JAWA TIMUR,,1082,./0.png
104.213788999664,-5.5211577001669,0,Pasar Siging,1451,Pasar Siging,,0,,,,,,,PESISIR BARAT,LAMPUNG,,1083,./0.png
101.547540899594,-2.74135579992941,0,Tunggang,1452,Tunggang,Kec. Pondok Suguh,10,,,,,,,MUKO MUKO,BENGKULU,,1084,./0.png
121.952220599802,1.04837000017619,0,Pasar Lintidu,1455,Pasar Lintidu,Lintidu Kec.Palele Kab Buol,0,,,,,,,BUOL,SULAWESI TENGAH,,1085,./0.png
98.4376151000578,4.02311529993199,0,Kwala Gebang,1457,Kwala Gebang,,0,,,,,,,LANGKAT,SUMATERA UTARA,,1086,./0.png
111.02045999963,-7.42997289962881,0,Pasar Bunder,1458,Pasar Bunder,kelurahan sragen tengah kecamatan sragen kabupaten sragen,5,Permanen,Permanen,Cukup,Cukup,Cukup,"Ada, Lancar",SRAGEN,JAWA TENGAH,SRAGEN TENGAH,1087,./0.png
110.262323900229,-7.36210009983893,0,Pasar Ds. Medono,1459,Pasar Ds. Medono,"Ds. Kebumen, pringsurat",0,,,,,,,TEMANGGUNG,JAWA TENGAH,,1088,./0.png
124.477607199814,-9.4652697004355,0,Pasar Tradisional Kefamenanu,1460,Pasar Tradisional Kefamenanu,,0,,,,,,,TIMOR TENGAH UTARA,NUSA TENGGARA TIMUR,,1089,./0.png
112.911955799721,-7.63906619984442,0,Pasar Besar Blok Ikan Kota Pasuruan,1461,Pasar Besar Blok Ikan Kota Pasuruan,KELURAHAN MAYANGAN,1,Permanen,Tanah,Kurang,Kurang,Kurang,"Ada, Tidak Lancar",KOTA PASURUAN,JAWA TIMUR,MAYANGAN,1090,./0.png
115.119288100167,-3.05567359985594,0,Pasar  Tatakan,1463,Pasar  Tatakan,kec. Tapin selatan,0,,,,,,,TAPIN,KALIMANTAN SELATAN,,1091,./0.png
106.782442899721,-7.34280780013904,0,Rambay,1464,Rambay,Rambay,0,,,,,,,SUKABUMI,JAWA BARAT,,1092,./0.png
119.988421800127,-4.71593839993642,0,Pasar Paringi,1465,Pasar Paringi,"Seng Palit, Desa Lappariaja",0,,,,,,,BONE,SULAWESI SELATAN,,1093,./0.png
105.107816199959,-3.57439189996541,0,Pasar Sp 2 Pedamaran Timur,1467,Pasar Sp 2 Pedamaran Timur,,0,,,,,,,OGAN KOMERING ILIR,SUMATERA SELATAN,,1094,./0.png
122.36458070044,-4.02685040002513,0,Pasar Lameuru,1468,Pasar Lameuru,Ds lameuru,15,,,,,,,KONAWE SELATAN,SULAWESI TENGGARA,,1095,./0.png
111.997884399946,-7.71517039989322,0,Baleturi,1469,Baleturi,Baleturi,0,,,,,,,NGANJUK,JAWA TIMUR,,1096,./0.png
122.518936900119,-3.96446749997432,0,Moll Mandonga,1470,Moll Mandonga,,0,,,,,,,KONAWE,SULAWESI TENGGARA,,1097,./0.png
109.408064299929,-7.30151789973047,0,Pasar Karang Anyar,1471,Pasar Karang Anyar,Jl. Karang Anyar,0,,,,,,,PURBALINGGA,JAWA TENGAH,,1098,./0.png
116.852335799658,-8.7309165997205,0,Pasar Tana Mira Taliwang,1472,Pasar Tana Mira Taliwang,,0,,,,,,,SUMBAWA BARAT,NUSA TENGGARA BARAT,,1099,./0.png
106.807830799753,-6.57010240030473,0,Pasar Induk Warung Jambu,1473,Pasar Induk Warung Jambu,,0,,,,,,,KOTA BOGOR,JAWA BARAT,,1100,./0.png
