X,Y,FID,OBJECTID,Turtle_Spe,Country,icon_url
134.332471363,-1.35508432599994,82,128,Leatherback Turtles,Indonesia,./0.png
135.38871437,-0.594984217999922,83,129,Leatherback Turtles,Indonesia,./0.png
135.862543009,-1.22675573599992,84,130,Leatherback Turtles,Indonesia,./0.png
135.694728699,-1.59199864499993,85,131,Leatherback Turtles,Indonesia,./0.png
136.899043156,-1.73019866499993,86,132,Leatherback Turtles,Indonesia,./0.png
132.05217104,-2.69759880199996,87,133,Green Turtles,Indonesia,./0.png
135.41832866,-4.48432762699991,88,134,Green Turtles,Indonesia,./0.png
138.251429062,-8.44277104499992,89,135,Green Turtles,Indonesia,./0.png
139.100372039,-1.95724155399995,90,136,Leatherback Turtles,Indonesia,./0.png
128.75511343,1.48788750600005,91,137,Leatherback Turtles,Indonesia,./0.png
127.827199012,2.30721619300004,92,138,Green Turtles,Indonesia,./0.png
128.458970531,2.63297338200005,93,139,Green Turtles,Indonesia,./0.png
128.66627056,2.60335909200006,94,140,Leatherback Turtles,Indonesia,./0.png
126.889413165,4.51841650700004,95,141,Green Turtles,Indonesia,./0.png
125.586384409,3.71883067900006,96,142,Green Turtles,Indonesia,./0.png
126.938770315,4.33085933700005,97,143,Leatherback Turtles,Indonesia,./0.png
124.786798581,1.77415897500009,98,144,Green Turtles,Indonesia,./0.png
120.848098023,1.37930177600009,99,145,Green Turtles,Indonesia,./0.png
117.204427864,-1.08281581499995,100,146,Hawksbill Turtles,Indonesia,./0.png
117.087186154,-1.26705278799994,101,147,Green Turtles,Indonesia,./0.png
100.308877411,-3.12480605299993,102,178,Green Turtles,Indonesia,./0.png
99.256277411,-1.79100605299993,103,179,Green Turtles,Indonesia,./0.png
97.1012774110001,1.20279394700009,104,180,Green Turtles,Indonesia,./0.png
100.128691329811,-0.953649927110478,105,181,Green Turtles,Indonesia,./0.png
100.176280549928,-1.02800808354268,106,182,Green Turtles,Indonesia,./0.png
116.074760844998,-8.35839237881963,107,183,Green Turtles,Indonesia,./0.png
116.057571773297,-8.35951584755824,108,184,Green Turtles,Indonesia,./0.png
116.051617388982,-8.3504157507755,109,185,Green Turtles,Indonesia,./0.png
116.05386432646,-8.34210208210979,110,186,Green Turtles,Indonesia,./0.png
116.028473932967,-8.34333789772226,111,187,Hawksbill Turtles,Indonesia,./0.png
116.030496176696,-8.3570442163333,112,188,Green Turtles,Indonesia,./0.png
106.04303704404,3.32956388032092,113,189,Green Turtles,Indonesia,./0.png
106.448456111174,3.22799207977556,114,190,Green Turtles,Indonesia,./0.png
104.151631316938,-5.47732614772977,115,191,Green Tertles,Indonesia,./0.png
104.171370004244,-5.48528529583694,116,192,Hawksbill Turtles,Indonesia,./0.png
